movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
Cop Out,"$55,611,001.00","$44,875,481.00",80.70%,"$10,735,520.00",19.30%
Lawless,"$55,404,159.00","$37,400,127.00",67.50%,"$18,004,032.00",32.50%
Silent Hill: Revelation,"$55,362,705.00","$17,529,157.00",31.70%,"$37,833,548.00",68.30%
Extremely Loud & Incredibly Close,"$55,247,881.00","$31,847,881.00",57.60%,"$23,400,000.00",42.40%
Dallas Buyers Club,"$55,198,285.00","$27,298,285.00",49.50%,"$27,900,000.00",50.50%
End of Watch,"$55,078,146.00","$41,003,371.00",74.40%,"$14,074,775.00",25.60%
Hellboy,"$55,064,690.00","$21,903,748.00",39.80%,"$33,160,942.00",60.20%
Barbershop: The Next Cut,"$55,030,051.00","$54,030,051.00",98.20%,"$1,000,000.00",1.80%
Veda - Atatürk,"$55,024,621.00",-,-,"$55,024,621.00",100%
Downsizing,"$55,003,890.00","$24,449,754.00",44.50%,"$30,554,136.00",55.50%
Wolf Children,"$54,984,346.00",-,-,"$54,984,346.00",100%
St. Vincent,"$54,837,234.00","$44,137,712.00",80.50%,"$10,699,522.00",19.50%
The Three Stooges,"$54,819,301.00","$44,338,224.00",80.90%,"$10,481,077.00",19.10%
The Crazies,"$54,806,823.00","$39,123,589.00",71.40%,"$15,683,234.00",28.60%
Go Brother!,"$54,663,060.00",-,-,"$54,663,060.00",100%
Early Man,"$54,622,814.00","$8,267,544.00",15.10%,"$46,355,270.00",84.90%
The Age of Shadows,"$54,491,162.00","$541,719.00",1%,"$53,949,443.00",99%
Confidential Assignment 2: International,"$54,486,330.00",-,-,"$54,486,330.00",100%
No Escape,"$54,418,872.00","$27,288,872.00",50.10%,"$27,130,000.00",49.90%
No Good Deed,"$54,323,210.00","$52,543,632.00",96.70%,"$1,779,578.00",3.30%
Upcoming,"$54,300,000.00",-,-,"$54,300,000.00",100%
The Five-Year Engagement,"$54,169,363.00","$28,835,528.00",53.20%,"$25,333,835.00",46.80%
Madea's Big Happy Family,"$54,161,287.00","$53,345,287.00",98.50%,"$816,000.00",1.50%
A Ghost of a Chance,"$53,982,636.00",-,-,"$53,982,636.00",100%
"I, Tonya","$53,939,297.00","$30,014,539.00",55.60%,"$23,924,758.00",44.40%
Peppermint,"$53,918,723.00","$35,418,723.00",65.70%,"$18,500,000.00",34.30%
Long Shot,"$53,873,809.00","$30,316,271.00",56.30%,"$23,557,538.00",43.70%
1987: When the Day Comes,"$53,834,292.00",-,-,"$53,834,292.00",100%
Don't Breathe 2,"$53,785,551.00","$32,712,950.00",60.80%,"$21,072,601.00",39.20%
Overheard 3,"$53,493,428.00",-,-,"$53,493,428.00",100%
Supercondriaque,"$53,425,036.00",-,-,"$53,425,036.00",100%
A Madea Christmas,"$53,396,635.00","$52,543,354.00",98.40%,"$853,281.00",1.60%
Sinister 2,"$53,329,150.00","$27,740,955.00",52%,"$25,588,195.00",48%
Little White Lies,"$53,319,615.00","$206,088.00",0.40%,"$53,113,527.00",99.60%
A Chinese Odyssey: Part Three,"$53,306,108.00",-,-,"$53,306,108.00",100%
3 Days to Kill,"$53,260,230.00","$30,697,999.00",57.60%,"$22,562,231.00",42.40%
Temptation: Confessions of a Marriage Counselor,"$53,143,144.00","$51,975,354.00",97.80%,"$1,167,790.00",2.20%
Delivery Man,"$53,120,346.00","$30,664,106.00",57.70%,"$22,456,240.00",42.30%
The Outlaws,"$52,946,454.00",-,-,"$52,946,454.00",100%
Man in Love,"$52,946,097.00",-,-,"$52,946,097.00",100%
Detective Conan: Sunflowers of Inferno,"$52,920,296.00",-,-,"$52,920,296.00",100%
From Paris with Love,"$52,830,951.00","$24,077,427.00",45.60%,"$28,753,524.00",54.40%
Prem Ratan Dhan Payo,"$52,715,771.00","$4,364,639.00",8.30%,"$48,351,132.00",91.70%
Break Through the Darkness,"$52,700,000.00",-,-,"$52,700,000.00",100%
Rurouni Kenshin Part II: Kyoto Inferno,"$52,696,176.00",-,-,"$52,696,176.00",100%
Wild,"$52,501,541.00","$37,880,356.00",72.20%,"$14,621,185.00",27.80%
Tunnel,"$52,444,295.00","$568,876.00",1.10%,"$51,875,419.00",98.90%
The Boy Next Door,"$52,425,855.00","$35,423,380.00",67.60%,"$17,002,475.00",32.40%
The Night Before,"$52,395,996.00","$43,047,372.00",82.20%,"$9,348,624.00",17.80%
Greenland,"$52,300,000.00",-,-,"$52,300,000.00",100%
Hollywood Adventures,"$52,265,070.00",-,-,"$52,265,070.00",100%
Tolo Tolo,"$52,186,426.00",-,-,"$52,186,426.00",100%
Patriots Day,"$52,185,751.00","$31,886,361.00",61.10%,"$20,299,390.00",38.90%
My Beloved Bodyguard,"$52,165,873.00",-,-,"$52,165,873.00",100%
The Finest Hours,"$52,099,090.00","$27,569,558.00",52.90%,"$24,529,532.00",47.10%
Teen Titans GO! To the Movies,"$52,090,236.00","$29,790,236.00",57.20%,"$22,300,000.00",42.80%
Detective Dee: The Mystery of the Phantom Flame,"$51,899,269.00","$459,836.00",0.90%,"$51,439,433.00",99.10%
Conference of Animals,"$51,883,642.00",-,-,"$51,883,642.00",100%
"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","$51,838,845.00","$257,343.00",0.50%,"$51,581,502.00",99.50%
Ambulance,"$51,828,984.00","$22,309,115.00",43%,"$29,519,869.00",57%
Slender Man,"$51,738,549.00","$30,569,484.00",59.10%,"$21,169,065.00",40.90%
Schemes in Antiques,"$51,637,422.00","$36,501.00",<0.1%,"$51,600,921.00",99.90%
Master,"$51,636,415.00","$597,251.00",1.20%,"$51,039,164.00",98.80%
Daybreakers,"$51,416,464.00","$30,101,577.00",58.50%,"$21,314,887.00",41.50%
Breaking In,"$51,411,620.00","$46,840,590.00",91.10%,"$4,571,030.00",8.90%
Cry Me a Sad River,"$51,400,614.00",-,-,"$51,400,614.00",100%
Hot Pursuit,"$51,380,201.00","$34,580,201.00",67.30%,"$16,800,000.00",32.70%
Once Upon a Deadpool 2018 Re-release,"$51,349,833.00","$6,100,309.00",11.90%,"$45,249,524.00",88.10%
Simmba,"$51,329,025.00","$5,102,129.00",9.90%,"$46,226,896.00",90.10%
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"$51,167,572.00","$944,193.00",1.80%,"$50,223,379.00",98.20%
Sunny,"$51,116,421.00",-,-,"$51,116,421.00",100%
Magic in the Moonlight,"$51,029,361.00","$10,539,326.00",20.70%,"$40,490,035.00",79.30%
Red Dawn,"$50,950,296.00","$44,806,783.00",87.90%,"$6,143,513.00",12.10%
Doraemon the Movie: Nobita and the Birth of Japan,"$50,939,840.00",-,-,"$50,939,840.00",100%
Vanguard,"$50,866,901.00","$793,525.00",1.60%,"$50,073,376.00",98.40%
Just Mercy,"$50,851,872.00","$36,001,502.00",70.80%,"$14,850,370.00",29.20%
Son of a Rich,"$50,803,834.00",-,-,"$50,803,834.00",100%
War of the Arrows,"$50,587,661.00","$251,200.00",0.50%,"$50,336,461.00",99.50%
Kingdom,"$50,574,061.00",-,-,"$50,574,061.00",100%
The Himalayas,"$50,544,493.00","$696,717.00",1.40%,"$49,847,776.00",98.60%
Alpha and Omega,"$50,507,267.00","$25,107,267.00",49.70%,"$25,400,000.00",50.30%
Dragon Ball Z: Battle of Gods,"$50,461,371.00","$2,553,002.00",5.10%,"$47,908,369.00",94.90%
Marry Me,"$50,458,060.00","$22,438,180.00",44.50%,"$28,019,880.00",55.50%
Kokowääh,"$50,447,784.00",-,-,"$50,447,784.00",100%
About Last Night,"$50,445,860.00","$48,637,684.00",96.40%,"$1,808,176.00",3.60%
Breakthrough,"$50,444,358.00","$40,713,082.00",80.70%,"$9,731,276.00",19.30%
Red Tails,"$50,365,498.00","$49,876,377.00",99%,"$489,121.00",1%
"Monsters, Inc. 2012 3D Release","$50,207,820.00","$34,043,006.00",67.80%,"$16,164,814.00",32.20%
Brahmastra Part One: Shiva,"$50,164,785.00","$7,839,108.00",15.60%,"$42,325,677.00",84.40%
HOUBA! On the Trail of the Marsupilami,"$50,146,474.00",-,-,"$50,146,474.00",100%
Uncut Gems,"$50,023,780.00","$50,023,780.00",100%,-,-
Dearest 2014 Re-release,"$50,000,583.00",-,-,"$50,000,583.00",100%
Family is Family,"$49,954,866.00",-,-,"$49,954,866.00",100%
21 Bridges,"$49,939,757.00","$28,539,757.00",57.10%,"$21,400,000.00",42.90%
Winnie the Pooh,"$49,871,429.00","$26,692,846.00",53.50%,"$23,178,583.00",46.50%
The Wailing,"$49,851,770.00","$786,633.00",1.60%,"$49,065,137.00",98.40%
The Switch,"$49,830,607.00","$27,779,426.00",55.70%,"$22,051,181.00",44.30%
Space Battleship Yamato,"$49,827,298.00",-,-,"$49,827,298.00",100%
She's Out of My League,"$49,779,728.00","$32,010,860.00",64.30%,"$17,768,868.00",35.70%
Luca,"$49,750,471.00",-,-,"$49,750,471.00",100%
The Boy and the Beast,"$49,714,378.00","$490,643.00",1%,"$49,223,735.00",99%
Two Is a Family,"$49,619,118.00",-,-,"$49,619,118.00",100%
Song of Youth,"$49,615,508.00",-,-,"$49,615,508.00",100%
Surprise,"$49,567,466.00",-,-,"$49,567,466.00",100%
Death Wish,"$49,562,710.00","$34,017,028.00",68.60%,"$15,545,682.00",31.40%
The Grudge,"$49,511,319.00","$21,221,803.00",42.90%,"$28,289,516.00",57.10%
Tad: The Lost Explorer,"$49,490,859.00",-,-,"$49,490,859.00",100%
Fantasy Island,"$49,447,308.00","$27,309,289.00",55.20%,"$22,138,019.00",44.80%
Trolls 2: World Tour,"$49,276,818.00","$450,000.00",0.90%,"$48,826,818.00",99.10%
Entourage,"$49,263,404.00","$32,363,404.00",65.70%,"$16,900,000.00",34.30%
A Turtle's Tale 2: Sammy's Escape from Paradise,"$49,261,830.00",-,-,"$49,261,830.00",100%
The New Mutants,"$49,169,594.00","$23,852,659.00",48.50%,"$25,316,935.00",51.50%
Death at a Funeral,"$49,050,886.00","$42,739,347.00",87.10%,"$6,311,539.00",12.90%
Little,"$48,987,096.00","$40,860,481.00",83.40%,"$8,126,615.00",16.60%
Whiplash,"$48,982,041.00","$13,092,000.00",26.70%,"$35,890,041.00",73.30%
Never Gone,"$48,980,792.00","$96,421.00",0.20%,"$48,884,371.00",99.80%
The Berlin File,"$48,972,848.00","$665,210.00",1.40%,"$48,307,638.00",98.60%
Trouble with the Curve,"$48,963,137.00","$35,763,137.00",73%,"$13,200,000.00",27%
Belfast,"$48,918,959.00","$9,250,870.00",18.90%,"$39,668,089.00",81.10%
Luck-Key,"$48,913,975.00","$466,505.00",1%,"$48,447,470.00",99%
Florence Foster Jenkins,"$48,902,953.00","$27,383,770.00",56%,"$21,519,183.00",44%
The Woman in Black 2: Angel of Death,"$48,854,305.00","$26,501,323.00",54.20%,"$22,352,982.00",45.80%
Bleeding Steel,"$48,825,526.00",-,-,"$48,825,526.00",100%
Isn't It Romantic,"$48,791,187.00","$48,791,187.00",100%,-,-
Mother's Day,"$48,782,670.00","$32,492,859.00",66.60%,"$16,289,811.00",33.40%
How Do You Know,"$48,668,907.00","$30,212,620.00",62.10%,"$18,456,287.00",37.90%
Concussion,"$48,623,572.00","$34,542,474.00",71%,"$14,081,098.00",29%
Her,"$48,517,427.00","$25,568,251.00",52.70%,"$22,949,176.00",47.30%
The Legend of Hei,"$48,507,082.00",-,-,"$48,507,082.00",100%
Logan Lucky,"$48,453,605.00","$27,780,977.00",57.30%,"$20,672,628.00",42.70%
Homefront,"$48,449,416.00","$20,158,898.00",41.60%,"$28,290,518.00",58.40%
Chef,"$48,428,048.00","$31,424,003.00",64.90%,"$17,004,045.00",35.10%
Boo 2! A Madea Halloween,"$48,333,932.00","$47,319,572.00",97.90%,"$1,014,360.00",2.10%
The Last Stand,"$48,330,757.00","$12,050,299.00",24.90%,"$36,280,458.00",75.10%
Charlie St. Cloud,"$48,190,704.00","$31,162,545.00",64.70%,"$17,028,159.00",35.30%
Arthur,"$48,147,945.00","$33,035,397.00",68.60%,"$15,112,548.00",31.40%
Boyhood,"$48,137,666.00","$25,352,281.00",52.70%,"$22,785,385.00",47.30%
21 & Over,"$48,065,672.00","$25,682,380.00",53.40%,"$22,383,292.00",46.60%
Sky Hunter,"$48,065,601.00",-,-,"$48,065,601.00",100%
Heartbreaker,"$48,023,509.00","$504,030.00",1%,"$47,519,479.00",99%
Countdown,"$48,021,766.00","$25,621,766.00",53.40%,"$22,400,000.00",46.60%
After We Collided,"$47,990,414.00","$2,386,483.00",5%,"$45,603,931.00",95%
"From Today, It's My Turn: The Movie","$47,895,887.00",-,-,"$47,895,887.00",100%
Midsommar,"$47,863,365.00","$27,426,361.00",57.30%,"$20,437,004.00",42.70%
Queen & Slim,"$47,861,400.00","$43,808,310.00",91.50%,"$4,053,090.00",8.50%
Phantom Thread,"$47,756,590.00","$21,198,205.00",44.40%,"$26,558,385.00",55.60%
Scott Pilgrim vs. the World,"$47,664,559.00","$31,524,275.00",66.10%,"$16,140,284.00",33.90%
"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,642,462.00",-,-,"$47,642,462.00",100%
Man on a Ledge,"$47,636,031.00","$18,620,000.00",39.10%,"$29,016,031.00",60.90%
Inside Men,"$47,616,503.00",-,-,"$47,616,503.00",100%
The Dead End,"$47,600,000.00",-,-,"$47,600,000.00",100%
Coming Home,"$47,587,984.00","$377,607.00",0.80%,"$47,210,377.00",99.20%
47 Meters Down: Uncaged,"$47,582,563.00","$22,260,900.00",46.80%,"$25,321,663.00",53.20%
Boonie Bears: A Mystical Winter,"$47,581,416.00",-,-,"$47,581,416.00",100%
Beauty and the Beast,"$47,430,624.00",-,-,"$47,430,624.00",100%
The Magic Tuche,"$47,427,990.00",-,-,"$47,427,990.00",100%
Nightcrawler,"$47,398,992.00","$32,381,217.00",68.30%,"$15,017,775.00",31.70%
Rough Night,"$47,347,283.00","$22,105,643.00",46.70%,"$25,241,640.00",53.30%
Texas Chainsaw,"$47,340,586.00","$34,341,945.00",72.50%,"$12,998,641.00",27.50%
A Monster Calls,"$47,309,313.00","$3,740,823.00",7.90%,"$43,568,490.00",92.10%
Tiny Times 2.0,"$47,289,937.00","$43,788.00",<0.1%,"$47,246,149.00",99.90%
Golden Job,"$47,287,851.00","$285,795.00",0.60%,"$47,002,056.00",99.40%
Mortdecai,"$47,275,695.00","$7,696,134.00",16.30%,"$39,579,561.00",83.70%
Switch,"$47,164,301.00",-,-,"$47,164,301.00",100%
Soul Surfer,"$47,120,948.00","$43,853,424.00",93.10%,"$3,267,524.00",6.90%
The Place Beyond the Pines,"$47,052,899.00","$21,403,519.00",45.50%,"$25,649,380.00",54.50%
Son of Bigfoot,"$47,046,281.00","$289,308.00",0.60%,"$46,756,973.00",99.40%
StreetDance 2,"$46,960,833.00",-,-,"$46,960,833.00",100%
My Hero Academia: World Heroes' Mission,"$46,951,862.00","$12,271,658.00",26.10%,"$34,680,204.00",73.90%
Parker,"$46,922,566.00","$17,616,641.00",37.50%,"$29,305,925.00",62.50%
Mary Queen of Scots,"$46,712,809.00","$16,468,499.00",35.30%,"$30,244,310.00",64.70%
Uncle Drew,"$46,664,414.00","$42,469,946.00",91%,"$4,194,468.00",9%
Three Seconds,"$46,596,415.00",-,-,"$46,596,415.00",100%
The Big Wedding,"$46,522,137.00","$21,819,348.00",46.90%,"$24,702,789.00",53.10%
Badges of Fury,"$46,495,296.00",-,-,"$46,495,296.00",100%
Risen,"$46,432,579.00","$36,880,033.00",79.40%,"$9,552,546.00",20.60%
Acrimony,"$46,403,669.00","$43,549,096.00",93.80%,"$2,854,573.00",6.20%
The French Dispatch,"$46,333,545.00","$16,124,375.00",34.80%,"$30,209,170.00",65.20%
A Werewolf Boy,"$46,282,588.00","$342,922.00",0.70%,"$45,939,666.00",99.30%
The Thousand Faces of Dunjia,"$46,263,237.00","$124,187.00",0.30%,"$46,139,050.00",99.70%
Asterix: The Secret of the Magic Potion,"$46,221,204.00","$1,271,953.00",2.80%,"$44,949,251.00",97.20%
The Battleship Island,"$46,183,383.00","$1,104,957.00",2.40%,"$45,078,426.00",97.60%
Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,"$46,180,706.00",-,-,"$46,180,706.00",100%
Hanson and the Beast,"$46,154,323.00",-,-,"$46,154,323.00",100%
Eddie the Eagle,"$46,152,800.00","$15,789,389.00",34.20%,"$30,363,411.00",65.80%
The World's End,"$46,089,287.00","$26,004,851.00",56.40%,"$20,084,436.00",43.60%
Gekijouban Tenpesuto 3D 2012 Re-release,"$46,008,255.00",-,-,"$46,008,255.00",100%
Let's Get Married,"$45,972,724.00","$462,918.00",1%,"$45,509,806.00",99%
Welcome to the South,"$45,896,492.00",-,-,"$45,896,492.00",100%
Gintama Live Action the Movie,"$45,746,967.00",-,-,"$45,746,967.00",100%
Somewhere Only We Know,"$45,737,711.00","$482,341.00",1.10%,"$45,255,370.00",98.90%
Chasing the Dragon II: Wild Wild Bunch,"$45,733,356.00","$196,634.00",0.40%,"$45,536,722.00",99.60%
"McFarland, USA","$45,710,059.00","$44,482,410.00",97.30%,"$1,227,649.00",2.70%
Judy,"$45,701,880.00","$24,313,888.00",53.20%,"$21,387,992.00",46.80%
Guilty of Mind,"$45,698,503.00",-,-,"$45,698,503.00",100%
Earth to Echo,"$45,681,062.00","$38,934,842.00",85.20%,"$6,746,220.00",14.80%
That Awkward Moment,"$45,640,143.00","$26,068,955.00",57.10%,"$19,571,188.00",42.90%
The Debt,"$45,636,368.00","$31,177,548.00",68.30%,"$14,458,820.00",31.70%
Bajrangi Bhaijaan 2018 Re-release,"$45,579,004.00",-,-,"$45,579,004.00",100%
Hero,"$45,565,534.00","$88,675.00",0.20%,"$45,476,859.00",99.80%
Machete,"$45,491,656.00","$26,593,646.00",58.50%,"$18,898,010.00",41.50%
Love on the Cloud,"$45,386,560.00","$271,734.00",0.60%,"$45,114,826.00",99.40%
Barbarian,"$45,352,337.00","$40,842,944.00",90.10%,"$4,509,393.00",9.90%
Tanhaji: The Unsung Warrior,"$45,221,814.00",-,-,"$45,221,814.00",100%
Confessions,"$45,203,103.00",-,-,"$45,203,103.00",100%
Blair Witch,"$45,173,154.00","$20,777,061.00",46%,"$24,396,093.00",54%
Flatliners,"$45,158,254.00","$16,883,115.00",37.40%,"$28,275,139.00",62.60%
Boonie Bears: The Big Top Secret,"$45,150,390.00",-,-,"$45,150,390.00",100%
In the Heights,"$45,135,827.00","$29,975,167.00",66.40%,"$15,160,660.00",33.60%
Love Will Tear Us Apart,"$45,060,290.00",-,-,"$45,060,290.00",100%
Grudge Match,"$44,907,260.00","$29,807,260.00",66.40%,"$15,100,000.00",33.60%
Child's Play,"$44,907,074.00","$29,208,403.00",65%,"$15,698,671.00",35%
Avatar 2010 Special Edition,"$44,838,548.00","$10,741,486.00",24%,"$34,097,062.00",76%
Still Alice,"$44,779,195.00","$18,754,371.00",41.90%,"$26,024,824.00",58.10%
The Man from Nowhere,"$44,723,232.00","$528,175.00",1.20%,"$44,195,057.00",98.80%
The White Storm,"$44,670,277.00",-,-,"$44,670,277.00",100%
Richard Jewell,"$44,655,962.00","$22,345,542.00",50%,"$22,310,420.00",50%
Bad Genius,"$44,560,421.00",-,-,"$44,560,421.00",100%
Mother!,"$44,516,999.00","$17,800,004.00",40%,"$26,716,995.00",60%
Oculus,"$44,446,287.00","$27,695,246.00",62.30%,"$16,751,041.00",37.70%
Detective Conan: The Eleventh Striker,"$44,369,456.00",-,-,"$44,369,456.00",100%
Unhinged,"$44,331,465.00","$20,831,465.00",47%,"$23,500,000.00",53%
House at the End of the Street,"$44,287,131.00","$31,611,916.00",71.40%,"$12,675,215.00",28.60%
Tarzan,"$44,095,996.00",-,-,"$44,095,996.00",100%
The Great Hypnotist,"$44,077,818.00",-,-,"$44,077,818.00",100%
Winchester,"$44,019,588.00","$25,091,816.00",57%,"$18,927,772.00",43%
Kick,"$43,996,483.00","$2,472,695.00",5.60%,"$41,523,788.00",94.40%
Wind River,"$43,980,821.00","$33,800,859.00",76.90%,"$10,179,962.00",23.10%
Max,"$43,967,255.00","$42,656,255.00",97%,"$1,311,000.00",3%
The End of Endless Love,"$43,950,000.00",-,-,"$43,950,000.00",100%
Battle of Memories,"$43,892,362.00","$594,552.00",1.40%,"$43,297,810.00",98.60%
Of Gods and Men,"$43,803,417.00","$3,951,596.00",9%,"$39,851,821.00",91%
Café Society,"$43,763,247.00","$11,103,205.00",25.40%,"$32,660,042.00",74.60%
The DUFF,"$43,709,744.00","$34,030,343.00",77.90%,"$9,679,401.00",22.10%
Boy,"$43,551,154.00","$256,211.00",0.60%,"$43,294,943.00",99.40%
League of Gods,"$43,498,766.00","$181,633.00",0.40%,"$43,317,133.00",99.60%
Secretly Greatly,"$43,447,199.00",-,-,"$43,447,199.00",100%
The War with Grandpa,"$43,387,445.00","$21,277,892.00",49%,"$22,109,553.00",51%
Prey for the Devil,"$43,377,310.00","$19,802,293.00",45.70%,"$23,575,017.00",54.30%
Harriet,"$43,347,017.00","$43,082,155.00",99.40%,"$264,862.00",0.60%
Beastly,"$43,202,283.00","$27,865,571.00",64.50%,"$15,336,712.00",35.50%
The Snowman,"$43,155,261.00","$6,700,035.00",15.50%,"$36,455,226.00",84.50%
A Shaun the Sheep Movie: Farmageddon,"$43,100,248.00",-,-,"$43,100,248.00",100%
Annihilation,"$43,070,915.00","$32,732,301.00",76%,"$10,338,614.00",24%
When in Rome,"$43,053,376.00","$32,680,633.00",75.90%,"$10,372,743.00",24.10%
Gifted,"$43,046,590.00","$24,801,212.00",57.60%,"$18,245,378.00",42.40%
The Possession of Hannah Grace,"$43,016,528.00","$14,837,422.00",34.50%,"$28,179,106.00",65.50%
Legend,"$42,972,994.00","$1,872,994.00",4.40%,"$41,100,000.00",95.60%
"The Chef, The Actor, The Scoundrel","$42,970,000.00",-,-,"$42,970,000.00",100%
The Gallows,"$42,964,410.00","$22,764,410.00",53%,"$20,200,000.00",47%
Asterix and Obelix: Mansion of the Gods,"$42,830,578.00",-,-,"$42,830,578.00",100%
Detective Conan: Quarter of Silence,"$42,808,575.00",-,-,"$42,808,575.00",100%
Doraemon: Nobita's Secret Gadget Museum,"$42,770,271.00",-,-,"$42,770,271.00",100%
Shaolin,"$42,741,494.00","$66,099.00",0.20%,"$42,675,395.00",99.80%
Spirit Untamed,"$42,717,215.00","$17,716,215.00",41.50%,"$25,001,000.00",58.50%
Peninsula,"$42,698,327.00","$1,231,407.00",2.90%,"$41,466,920.00",97.10%
Almost Christmas,"$42,580,920.00","$42,158,780.00",99%,"$422,140.00",1%
Thermae Romae II,"$42,473,163.00",-,-,"$42,473,163.00",100%
Love the Coopers,"$42,426,912.00","$26,302,731.00",62%,"$16,124,181.00",38%
My Name Is Khan,"$42,345,360.00","$4,018,771.00",9.50%,"$38,326,589.00",90.50%
Loving Vincent,"$42,187,665.00","$6,735,118.00",16%,"$35,452,547.00",84%
The Throne,"$42,165,755.00",-,-,"$42,165,755.00",100%
Monster Hunter,"$42,145,959.00","$15,162,470.00",36%,"$26,983,489.00",64%
Long Day's Journey Into Night,"$42,140,994.00","$521,365.00",1.20%,"$41,619,629.00",98.80%
Jobs,"$42,128,352.00","$16,131,410.00",38.30%,"$25,996,942.00",61.70%
Going the Distance,"$42,059,111.00","$17,804,299.00",42.30%,"$24,254,812.00",57.70%
Bang Bang,"$42,045,981.00","$2,546,172.00",6.10%,"$39,499,809.00",93.90%
Detective Conan: The Sniper from Another Dimension,"$42,028,116.00",-,-,"$42,028,116.00",100%
Mary and the Witch's Flower,"$41,978,431.00","$2,418,404.00",5.80%,"$39,560,027.00",94.20%
Resident Evil: Welcome to Raccoon City,"$41,914,915.00","$17,000,612.00",40.60%,"$24,914,303.00",59.40%
Rurouni Kenshin: The Legend Ends,"$41,900,000.00",-,-,"$41,900,000.00",100%
"As Above, So Below","$41,898,409.00","$21,321,100.00",50.90%,"$20,577,309.00",49.10%
Call Me by Your Name,"$41,887,595.00","$18,095,701.00",43.20%,"$23,791,894.00",56.80%
The Guilt Trip,"$41,863,726.00","$37,134,215.00",88.70%,"$4,729,511.00",11.30%
No Man's Land,"$41,807,712.00",-,-,"$41,807,712.00",100%
T2 Trainspotting,"$41,681,746.00","$2,402,004.00",5.80%,"$39,279,742.00",94.20%
Overlord,"$41,657,844.00","$21,704,844.00",52.10%,"$19,953,000.00",47.90%
Born to Be Wild,"$41,644,475.00","$25,978,556.00",62.40%,"$15,665,919.00",37.60%
Safe,"$41,564,670.00","$17,142,080.00",41.20%,"$24,422,590.00",58.80%
Paws of Fury: The Legend of Hank,"$41,511,542.00","$17,811,382.00",42.90%,"$23,700,160.00",57.10%
The Great Battle,"$41,509,280.00","$472,166.00",1.10%,"$41,037,114.00",98.90%
Fighting with My Family,"$41,503,392.00","$22,958,886.00",55.30%,"$18,544,506.00",44.70%
Lupin III vs. Detective Conan: The Movie,"$41,397,727.00",-,-,"$41,397,727.00",100%
The Lady in the Van,"$41,387,687.00","$10,021,175.00",24.20%,"$31,366,512.00",75.80%
Shark Night,"$41,363,927.00","$18,877,153.00",45.60%,"$22,486,774.00",54.40%
Ricki and the Flash,"$41,325,328.00","$26,822,144.00",64.90%,"$14,503,184.00",35.10%
This Is Where I Leave You,"$41,296,320.00","$34,296,320.00",83%,"$7,000,000.00",17%
The Darkest Minds,"$41,142,379.00","$12,695,691.00",30.90%,"$28,446,688.00",69.10%
50/50,"$41,097,853.00","$35,014,192.00",85.20%,"$6,083,661.00",14.80%
Fist Fight,"$41,087,017.00","$32,187,017.00",78.30%,"$8,900,000.00",21.70%
Nodame Cantabile: The Movie II 2010 Re-release,"$41,054,604.00",-,-,"$41,054,604.00",100%
"Lost, Found","$41,043,552.00",-,-,"$41,043,552.00",100%
Dredd,"$41,037,742.00","$13,414,714.00",32.70%,"$27,623,028.00",67.30%
Fright Night,"$41,002,607.00","$18,302,607.00",44.60%,"$22,700,000.00",55.40%
La vérité si je mens! 3,"$40,928,635.00",-,-,"$40,928,635.00",100%
Always: Sunset on Third Street '64,"$40,923,305.00",-,-,"$40,923,305.00",100%
Drive Angry,"$40,909,909.00","$10,721,033.00",26.20%,"$30,188,876.00",73.80%
Underwater,"$40,882,928.00","$17,291,078.00",42.30%,"$23,591,850.00",57.70%
30 Minutes or Less,"$40,662,632.00","$37,053,924.00",91.10%,"$3,608,708.00",8.90%
The Circle,"$40,656,399.00","$20,497,844.00",50.40%,"$20,158,555.00",49.60%
Spiral,"$40,618,920.00","$23,216,862.00",57.20%,"$17,402,058.00",42.80%
Spanish Affair 2,"$40,591,862.00",-,-,"$40,591,862.00",100%
Gantz,"$40,568,961.00",-,-,"$40,568,961.00",100%
The Roommate,"$40,492,652.00","$37,300,000.00",92.10%,"$3,192,652.00",7.90%
Holmes & Watson,"$40,466,970.00","$30,573,626.00",75.60%,"$9,893,344.00",24.40%
The Witch,"$40,423,945.00","$25,138,705.00",62.20%,"$15,285,240.00",37.80%
Masquerade Hotel,"$40,396,244.00",-,-,"$40,396,244.00",100%
Carol,"$40,272,135.00","$12,711,491.00",31.60%,"$27,560,644.00",68.40%
Yolki 3,"$40,267,368.00",-,-,"$40,267,368.00",100%
SP: The Motion Picture II,"$40,255,101.00",-,-,"$40,255,101.00",100%
Boonie Bears: To the Rescue,"$40,163,675.00",-,-,"$40,163,675.00",100%
Diary of a Wimpy Kid: The Long Haul,"$40,140,972.00","$20,738,724.00",51.70%,"$19,402,248.00",48.30%
The Wild Life,"$40,075,446.00","$8,005,586.00",20%,"$32,069,860.00",80%
Snake Eyes,"$40,064,325.00","$28,264,325.00",70.50%,"$11,800,000.00",29.50%
Northern Limit Line,"$40,034,677.00","$337,907.00",0.80%,"$39,696,770.00",99.20%
